Id,SalePrice
1461,134751.27
1462,160469.75
1463,189340.33
1464,184909.48
1465,188308.48
1466,170367.88
1467,179904.36
1468,167976.28
1469,169126.22
1470,117126.41
1471,189432.25
1472,92438.11
1473,96425.34
1474,147621.33
1475,125618.87
1476,401796.0
1477,265350.72
1478,291844.03
1479,266891.72
1480,507351.34
1481,303861.9
1482,199615.28
1483,163535.38
1484,164499.06
1485,159522.36
1486,205626.38
1487,349580.2
1488,234741.58
1489,220282.2
1490,209989.19
1491,190590.72
1492,90410.96
1493,193385.61
1494,303290.72
1495,294693.16
1496,228758.61
1497,156497.95
1498,160308.39
1499,149203.3
1500,147246.5
1501,174468.6
1502,144667.95
1503,315432.88
1504,247104.42
1505,230160.44
1506,202292.92
1507,243404.53
1508,191251.3
1509,166275.34
1510,146912.1
1511,151156.1
1512,174320.58
1513,136865.97
1514,213615.42
1515,206734.97
1516,148742.83
1517,167694.73
1518,137112.89
1519,224008.84
1520,141763.23
1521,145483.56
1522,162788.47
1523,112460.54
1524,120094.06
1525,128908.13
1526,129746.68
1527,101692.21
1528,139989.31
1529,139920.05
1530,165403.12
1531,102965.62
1532,99253.66
1533,146891.36
1534,115728.06
1535,156513.19
1536,119778.95
1537,62737.51
1538,180622.95
1539,182960.3
1540,83733.86
1541,165013.17
1542,142224.08
1543,234758.38
1544,82116.02
1545,111857.39
1546,122471.586
1547,147665.83
1548,148342.36
1549,113035.58
1550,131705.97
1551,116782.32
1552,129275.99
1553,143014.42
1554,110447.98
1555,183966.0
1556,81358.42
1557,105413.016
1558,92533.11
1559,89031.01
1560,128752.945
1561,122192.99
1562,120475.14
1563,96533.37
1564,148965.84
1565,153817.69
1566,255070.2
1567,72551.84
1568,224351.77
1569,124029.336
1570,129543.414
1571,119171.984
1572,146488.6
1573,227802.0
1574,89577.695
1575,208739.47
1576,235602.34
1577,198628.8
1578,141999.1
1579,153961.97
1580,209751.2
1581,154804.58
1582,123376.59
1583,326636.38
1584,223242.6
1585,139934.45
1586,74645.445
1587,96977.93
1588,149842.4
1589,95811.914
1590,125354.16
1591,98532.83
1592,110317.016
1593,109784.81
1594,141694.45
1595,91510.21
1596,241963.14
1597,207003.88
1598,207083.64
1599,172387.95
1600,169382.23
1601,64173.12
1602,97730.15
1603,92713.39
1604,272416.94
1605,256109.56
1606,160396.78
1607,205442.72
1608,199209.66
1609,204328.0
1610,172754.12
1611,134186.11
1612,177320.55
1613,156724.38
1614,112003.52
1615,80669.65
1616,68426.555
1617,89823.375
1618,128828.62
1619,140930.6
1620,163975.47
1621,138562.67
1622,129600.875
1623,270726.75
1624,193912.5
1625,131725.45
1626,162935.08
1627,192085.34
1628,281621.94
1629,189030.89
1630,419023.2
1631,237453.38
1632,257925.6
1633,160809.25
1634,181644.2
1635,177442.34
1636,153604.86
1637,178686.75
1638,202596.44
1639,173713.52
1640,280846.53
1641,177932.9
1642,219141.1
1643,242278.77
1644,241967.3
1645,187439.7
1646,170252.55
1647,146603.06
1648,137212.83
1649,141157.78
1650,112982.234
1651,123279.914
1652,97209.33
1653,99321.07
1654,154777.56
1655,145033.33
1656,145251.77
1657,155153.67
1658,147791.8
1659,129659.734
1660,157226.94
1661,504708.22
1662,441379.66
1663,394295.22
1664,518929.84
1665,325278.84
1666,320481.84
1667,366774.97
1668,342393.94
1669,317809.53
1670,398176.78
1671,259627.16
1672,479477.84
1673,297818.22
1674,251863.78
1675,190703.27
1676,195629.17
1677,229967.78
1678,472986.03
1679,395255.62
1680,343636.34
1681,270907.56
1682,290696.28
1683,167732.16
1684,169803.55
1685,167845.61
1686,163540.5
1687,165539.8
1688,192900.81
1689,192982.31
1690,191499.69
1691,171191.81
1692,264359.3
1693,168554.3
1694,176420.31
1695,171699.66
1696,279040.75
1697,177205.6
1698,389254.38
1699,301958.22
1700,232253.81
1701,266157.4
1702,256979.08
1703,264404.72
1704,302767.06
1705,242874.94
1706,465381.34
1707,232630.66
1708,222771.52
1709,279382.9
1710,235266.25
1711,262924.16
1712,238862.0
1713,280594.1
1714,212247.17
1715,206507.78
1716,206987.11
1717,165140.39
1718,118296.01
1719,199233.22
1720,265717.66
1721,161401.39
1722,113919.09
1723,152851.11
1724,228049.83
1725,234824.89
1726,179665.86
1727,151715.44
1728,195097.42
1729,171282.62
1730,168074.5
1731,121258.61
1732,119102.68
1733,103672.79
1734,129395.266
1735,137704.69
1736,119799.62
1737,378797.88
1738,214875.86
1739,259467.52
1740,236503.73
1741,197564.8
1742,175079.45
1743,181276.28
1744,295765.03
1745,230515.42
1746,204512.03
1747,210566.53
1748,225628.89
1749,144541.92
1750,144728.25
1751,233345.89
1752,117641.24
1753,142505.11
1754,203180.78
1755,164748.86
1756,122497.17
1757,118129.5
1758,144309.42
1759,180058.48
1760,164097.31
1761,154834.55
1762,163871.02
1763,169657.39
1764,111672.46
1765,183930.38
1766,170981.02
1767,209142.17
1768,142575.92
1769,180090.78
1770,144780.86
1771,128020.52
1772,131966.61
1773,138015.1
1774,123735.27
1775,144591.12
1776,119487.56
1777,118611.305
1778,141252.45
1779,102974.95
1780,180172.03
1781,118350.87
1782,98007.164
1783,141312.28
1784,94696.94
1785,116741.12
1786,132630.25
1787,157489.7
1788,45594.785
1789,96052.9
1790,72421.67
